strategy,f_statistic,p_value,significant,n_regimes
BuyAndHold,4.762349274014263,0.0007827865160785078,True,5
SMA200,2.3056958266311245,0.05595684594884253,False,5
GoldenCrossBaseline,10.20295199423096,3.229205652612389e-08,True,5
GoldenCross,1.5899517694020353,0.17407004674939588,False,5
MACDTrend,1.0333114521490834,0.38841746232996754,False,5
ADXBreakout,3.0256896362197754,0.016712357214027244,True,5
Ichimoku,0.3649451302090693,0.8337238165185725,False,5
ParabolicSAR,0.07386688868526466,0.9901008603212407,False,5
DonchianBreakout,6.281827097375616,4.904669700001513e-05,True,5
RSIReversal,1.5907286035164736,0.17386471295584519,False,5
BollingerBounce,0.7144614687162004,0.5819417999492796,False,5
Stochastic,1.1734483561428493,0.32036027911455756,False,5
WilliamsR,4.322122492895144,0.001723996322169713,True,5
CCIReversal,4.405095601444664,0.0014864622127317545,True,5
ATRBreakout,4.33693474929393,0.0016790039819237304,True,5
KeltnerBreakout,7.753621536086008,3.20483802313891e-06,True,5
VolTargeting,4.762349274014263,0.0007827865160785078,True,5
BBSqueeze,3.9501534875104727,0.0033387857592502195,True,5
OBVConfirmation,0.6855762587331413,0.6018766337390005,False,5
MFIReversal,3.6675493404406208,0.005492243277727567,True,5
VWAPReversion,3.2247299800861144,0.011870215590422447,True,5
Momentum12-1,0.9074440277992201,0.45853111004406144,False,5
AroonTrend,0.863266722867971,0.48514676708322535,False,5
TRIXTrend,1.21881978952772,0.30052229944483294,False,5
